reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
f71830da-ac5d-443c-9835-40c090d276d0,Kristen Zariffa,"Been using this app for years, loved it and never had an issue. As of last week, the app keeps switching to French and no matter how many times I click the English option and save (i have to Google how to change the language setting, since its not even possible to find thr setting in app), it either half translates or doesn't save my preference. The desktop site has my preference saved. I am in Quebec, so maybe has something to do with it, but this is beyond frustrating to deal with.",1,230,24.3.0.100,2022-02-18 14:19:14,24.3.0.100
b84f9c3b-bccc-409d-a96c-f81872512678,Karen Lowe,"Amazon, you are circling the drain. The version installed on my phone cannot be altered, uninstalled or accessable to any settings or preferences. My icon shows a brown box with the trademark smile on my Motorola phone. My old Galaxy that I use for books and data has the old regular app with the shopping cart. How about you quit selling me more of something that doesn't interest me (what ARE you doing with my algorithms?!?) and focus on what I have ordered.",1,1,20.14.0.100,2022-02-04 16:18:05,20.14.0.100
f2b3af34-f594-41bb-9038-48d894a6ad37,Josh “Barney” Barningham,"I've had a prime membership for 10 years, and I love Amazon. I really want to give the Amazon Shopping app 5 stars, but I can't. It's BAD! And it keeps getting worse over time. I purchase items on Amazon to get good products at a good, competitive, price, so I use filters. But they are useless!!! You can't specify your own price range and putting price in the description doesn't work at all. The other filters results are so inaccurate, they're worthless and keep getting worse. That's why 1 star.",1,382,24.3.0.100,2022-02-20 00:20:26,24.3.0.100
34180ede-210e-44c9-8d3d-b95c25880bb1,Barry B,"my phone did an updated then the app disappears, does not show up anywhere on the phone... go to the app store and it has an enable button, it does not work! It is stuck, It never changes from enable... I get a quick look at the update choice and then right back to the enable screen! I can't delete what does not show up so I can't reload the app.",3,16,22.22.8.100,2022-02-21 20:56:24,22.22.8.100
6bc98739-e33b-4b44-b470-06083962e3d0,Joshua Fredrickson,"UI is constantly changing, leading to a disjointed experience with the app. ""Orders"" page is constantly buggy, often not loading. Several times I have had delivery personel deliver packages by throwing it at my door... never enough packaging in the boxes, and sometimes the thin paper tape is torn or not put on properly to seal the box. Returns are confusing, and they make you drive to a Whole Foods or a participating UPS store to make a return when they screw something up... highly frustrating.",2,3,22.1.0.100,2022-02-07 20:17:49,22.1.0.100
971671a4-f572-479c-b438-67fbafcd0d14,Brittany Shaw-Brown,"HORRIBLE CUSTOMER SERVICE. I ended up paying for a free subscription that Amazon offered. Initially,I was told by a agent what the issue was, but they would follow up with a resolution, and to not cancel. They never followed up.I did and kept being transferred from agent to agent. 10+ agents later, I was hung up on multiple times and agents disconnected from chats. If your clueless just say that, then find me someone that can help. I reached out on all platforms, no resolution,so I cancelled!!!",1,1,20.14.0.100,2022-02-19 12:12:57,20.14.0.100
2cae443d-f676-4bb2-8052-6833934bf658,Shawnee Thayer,"I used to use Amazon for everything, until their app became so slow and unbelievably frustrating. It takes forever to load, will freeze up, or just send me to a blank screen. The important filters are gone, you really don't know who you're ordering from. My husband purchased some clothes only to find out it would take two months for everything to arrive! Stupid ads for stuff I don't need and wasn't looking for everywhere. Amazon is failing hard.",2,214,24.3.0.100,2022-02-13 05:24:12,24.3.0.100
9720445b-d054-4683-bcbb-ee695d460067,Jeffrey Gardella,"They relentlessly push you to sign up for Amazon Prime, so much so that you need to be very careful when navigating through a purchase. Recently, when I was placing an order, I inadvertently clicked on a button that appeared to complete the transaction. Unknowingly, it signed me up for Amazon Prime. I reached out to Amazon to let them know I didn't want Prime. I made several attempts via the app and email to cancel the transaction and subscription. It took over 10 steps to finally cancel.",1,455,24.3.0.100,2022-02-23 01:35:00,24.3.0.100
a410d14a-3b61-4879-b638-2f4f41a64bd4,Adam B.,"Amazon isn't what it used to be. The last 5 items I've ordered has either arrived wrong or never shipped at all (there was months between orders) when calling customer service, it always turned into a nightmare of misunderstanding, due to them not speaking English, or outright lies. Save yourself the trouble and shop on ebay. Or anywhere else. Prices are similar and at least ebay cracks down on the B.S when it's needed. (BTW, my last order was a book. Amazon is KNOWN for books and still failed)",1,31,22.22.8.100,2022-02-02 22:26:45,22.22.8.100
837be90b-20de-4c74-a47d-0bbd0346c7df,BigScary Horton,"This app still doesn't work properly. I had problems using it on an older tablet. Bought a new tablet recently and still have issues. Pop up windows don't function properly. All I see is a copy of the screen behind the window, inside the window. Doesn't help me trying to see a product ""in use"" before purchase. Curious why other Amazon apps work without issues, but this one does not?",1,64,24.3.0.100,2022-02-23 07:53:20,24.3.0.100
d0be57f2-576b-4655-a35c-ef22bdc8740d,George Moore,"Good app and good service. I do have one issue and I can't be the only one. Under the Android settings in developer options, there's an option for ""Force Dark Mode"" under Hardware Accelerated Rendering. This works well with the app except when searching. The text is white and so is the text box, so it's impossible to see what you're typing. I feel like this could easily be fixed.",4,146,24.3.0.100,2022-02-21 22:47:35,24.3.0.100
8cb0983a-00ce-4221-a5a5-3d5682159558,J.T. Brock,"The search engine kills the experience. It is very difficult to find the item being searched for. Often times, there are too many listings for a certain item that appears to be the exact same thing with slightly different wording and different prices. I have copied key words from titles of items and searched for them and still, the listing I copied is buried in the results. I might find it by clicking something related and then look through the window of related items I might actually find it.",3,234,24.3.0.100,2022-02-15 11:54:23,24.3.0.100
a2901cca-fbe7-4833-945c-1db4275da6aa,B L,"Used to be a great service. Now the price keeps going up and service continues to decline. Delivery windows are increasingly incorrect. My orders continue to be delivered to the incorrect address. What happened to the decent service? No delivery notifications, no pictures of where it was delivered. You have to comb through tons and tons of reviews just to make sure what your purchasing is accurate and not some p.o.s. , which it usually is anyways. The app almost never works correctly either.",1,148,24.3.0.100,2022-02-19 02:18:34,24.3.0.100
2a46d44d-235a-4595-b21c-a48f8a614f79,Candy Plaster,I would probably order even more than I do if I could view my lists. Most of the time I can't scroll down on the app so I have to type in what I remember is on my list when I want to order something. This is a longstanding glitch that never seems to be fixed. I have a Samsung S9+ and it works fine with every other app on the phone. I hope someone fixes the issue soon.,3,160,24.2.0.100,2022-02-04 16:19:50,24.2.0.100
0a11c3ef-4fe0-4a73-9679-7b2e0959f828,KBAKER it's all about nobody.,"Quickly becoming my most avoided shopping app due to the fact that there's absolutely NO WAY to filter out the international vendors from the rest. At least on eBay you can. I purchased a razor that after a few months I thought ""where is this razor???"" So when I tracked it it's apparently on a slow boat from China which I would avoid on eBay but Amazon you don't find out until it's too late. Thank God for refunds but still need to provide a filter.",1,57,24.2.0.100,2022-02-06 15:25:36,24.2.0.100
265ce83d-cd8c-4475-9288-6a127d186e1a,Elizabeth,I've been an Amazon customer since 2012 and I'm about to cancel my subscription. Between them raising the subscription price and just about every single time I place an order for a new item 9 times out of 10 I receive an item with an LPN label which I'm pretty sure means it's been previously bought and returned. The convience isn't even worth the price anymore.,1,53,24.3.0.100,2022-02-25 21:13:16,24.3.0.100
f7cacc80-810d-418d-bd13-8f6f92243bad,Bharath Srinivasan,App does not show certain products' images only when you tap on them to get a closer zoomed in view. It does not happen on all images. It does not happen on cellular connection. Weird issue. Not sure if it's the app or my Wi-Fi (Orbi router and satellites) or my phone. Issue does not happen on my laptop. Need to try on another phone to rule out Wi-Fi issue.,4,155,24.3.0.100,2022-02-10 12:18:03,24.3.0.100
7f0f9b85-488e-44c6-8b21-355c2224ce6a,Warren Searby,"Our experience was great until recently when the Alexa bubble began haunting the sidelines of app screens. And, the scrolling become locked in same products at times, probably to force longer viewing of that venders product. I tried to toggle off as many permissions as I could find related to the Alexa prompt or standby bubble. It is still lurking on screen. I'm quite capable of finding what I need or will use different device.",3,43,24.4.0.100,2022-02-25 17:29:53,24.4.0.100
