reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
b7229e4b-25a0-4872-a5b1-f1255b739d37,A Google user,If I could give it 0 stars I would. With the last update I started getting so many pop up ads on my phone that it became nearly impossible to use. I would literally get one every 10-15 seconds. Virus scans turned up nothing. Then I noticed that every ad I was getting was related to this app. I uninstalled the update and haven't had a pop up since. I can understand why advertising is necessary but when I can't make a phone call or even check the time because of the ads it gets ridiculous.,1,1,14.1.0.100,2019-03-28 00:57:47,14.1.0.100
04963c9e-9ade-43bf-936c-d4b33617d282,A Google user,"I cannot get this app to work, s8+. The search bar is unresponsive. I tap it but can not get it to invoke the keyboard to enter my search. If I rotate screen I can get it to work. I Uninstaller all updates, cleared data, reinstalled no luck. I use the older app and it works fine. But have received notice it will not be supported going forward. I would love for the app to work on my phone. Hopefully it will work on s10+",1,80,18.6.0.100,2019-03-21 18:53:56,18.6.0.100
c4a9e841-3aea-4a52-937c-8626c80ea511,A Google user,"The app is alright, a bit buggy. The issue is the barely intelligible outsourced customer support and inconsistant package tracking. Paid for overnight deliver, took a week. ( Package lost somehow) Asked for refund in amazon credit, 3 hours to get credit, since a new item would not be available for several weeks. Ended up getting refunded to my card, 7-10 business days to clear.",1,1,16.21.0.100,2019-03-21 16:32:28,16.21.0.100
24fff7d0-eef6-4fb8-9f70-f6def6a0dc47,A Google user,"It's constantly freezing. I'm always putting in a ""fix"" request but obviously it's getting ignored because this has gone on now for months. It doesn't matter if it's the shopping app or Prime video. None of my other apps have given me any problems . Easier just to delete them anyway than the hassle it's been giving me, including the horrible delivery service lately.",1,2,18.4.0.100,2019-03-06 15:34:42,18.4.0.100
ca2758c1-56b8-49e2-ae2a-bb151f6fadf6,A Google user,"I love amazon but this app is really disappointing. it constantly crashes and gives me an error screen that says ""Oops, something went wrong."" This seems to happen everytime I attempt to view a product or view different sizes/colors/options of products. I have used this app for a long time and no matter how many times it updates this problem occurs repeatedly.",1,94,18.6.0.100,2019-03-25 05:07:24,18.6.0.100
99a3f5e4-c7dc-462d-aeda-f57581530ffd,A Google user,"I got this app since I use amazon a lot , and I regret it. I had a perfectly fine time using chrome instead. I've had times where it crashes repeatedly and it will keep saying ""Oops, something went wrong"", as much as like 10 times in the same minute. It just gets frustrating after a while, it becomes such a hassle to get what I need when that pops up so frequently. Uninstalling and heading back to chrome.",2,1,18.5.0.100,2019-03-24 07:50:05,18.5.0.100
3c3ec8b8-b34a-4967-a10c-9be7ca6bd9a6,A Google user,"*Edit: Seems like if you're not a Prime member, the app response is broken: it was laggy from the start (when I had a membership) but then it just became completely unresponsive & I have to tap something on the UI 4 times before anything happens, & that's with WiFi connection. 2ndly, the app offered me a free 12 month Prime trial, but after signing up for it, I instead got just 30 days, then after that trial ended, got billed $130 for a yr subscript. Ha! Lastly, billing reminders do *not work.",2,7,18.5.0.100,2019-03-19 11:55:21,18.5.0.100
884129cb-2020-4acb-bbdd-a64d6a87b227,A Google user,"I use this app once a week and it's awful. I find I have to flip to the browser version half the time just to get around its horrible ability to search. Its search is so weighted and verging to outright lying to you. from not finding products, to hiding them deep in a list. the same criteria on the website will give you a very diffrent picture. I still use this app for a few convenient things, but never for research.",2,2,18.4.0.100,2019-03-06 15:19:28,18.4.0.100
c6d54094-f483-4be3-8a6d-3bde2f9243c4,A Google user,"Can't say how often I open Amazon through a notification, try to switch apps to research the item and then try to switch back to Amazon only to find it's not open in the background. Was just going to submit a question about an item, but jumped to chrome to check facts and couldn't get back to Amazon app to submit my question. ugh... now i have to go find the item and type question again. Also, I'm certain I've reviewed some items via the app in the past that no longer have my reviews.",2,3,18.4.0.100,2019-03-06 03:20:15,18.4.0.100
b55178f9-975d-4645-9bc5-09311f16fe53,A Google user,"i got this app for the $10 code, only to google (b.c the ad/info for it disappears as soon as you click it& it takes you to the app store..) and find out it'll be emailed to me within 7-10 days.. thx, i wanted to use it now. they can send a payment email in 3 seconds, but that takes 7days..?? I've never had a problem w. my payment method before, and I seldomly use amazon but with the app it wouldnt accept payment, so i went onto the website and it worked fine. a complete waste of my time, imho.",1,0,,2019-03-06 00:24:28,
bbcaf7a4-d5d3-4245-92f6-64cc555ec75f,A Google user,"Usually a great app, but I'm forced to uninstall it and just use browser version. I have the endless dog error page loop. I've cleared cache and local storage and uninstall / reinstalled the app with no luck. If this was temporary it wouldn't be a huge deal. However, so far it's been at least a week that way. Which is just disappointing",2,176,18.7.0.100,2019-03-31 16:59:27,18.7.0.100
429cd136-d677-4c67-bd26-5f74c55c47e3,A Google user,"Overall good app. Baby registry is very annoying to use though. When I click an item on my registry, (to view detail, to delete or change item setting) and then click back, it sends be all the way back the top of the registry. So I keep having to scroll back down to wgere I was at. It's very annoying!!! It's easier to use on a computer than the app.",3,57,18.5.0.100,2019-03-12 09:55:35,18.5.0.100
e63eb84b-33a1-4737-812a-95d0d56e3c8a,A Google user,"Was a good and efficient app, but since the update it does not work at all. Cannot open this app...as soon as I click on it it says that app has crashed for some reason. Then when I open amazon music, the first message that pops up is ""amazon shopping app has crashed"" even though I haven't even opened the amazon shopping app and made sure it wasn't running in the background. Needs to be fixed, but as of now it is a useless waste of space.",1,146,18.5.0.100,2019-03-12 05:40:25,18.5.0.100
ef663e94-e7ca-4599-9ba3-294a69074593,A Google user,"Terrible! Horrible! The worse! Couldn't actually log on. There's so many security prompts I couldn't get pass the sign in. You have to verify your log on id and password with a 5 digit code after you verify a copy code but they send it to you in an email not a code key. The app doesn't let you toggle between apps. If you minimize the AMZ app after you hit ""send code"" to access your acct email, when you come back to it the sign in function starts over again. It literally just keeps sending codes.",1,5,18.6.0.100,2019-03-23 11:31:18,18.6.0.100
13f5d4d0-0068-454a-a3c8-fd2b243975ac,A Google user,"Poorly executed app. It will not show your orders or purchase history unless you order directly from the app, which makes the app useless. I use my PC and Chrome on my phone sometimes, as well, and both provide a far superior experience. The app doesn't even recognize my Prime membership, even though I'm logged in. My PC and phone do. Until Amazon fixes this, I will not be using the app.",1,297,18.7.0.100,2019-03-31 06:19:48,18.7.0.100
37fb00d3-95ea-49a6-8081-5df2320b3b1b,A Google user,"Amazing online shopping app but I just hated the delayed items. I feel cheated when an item is being delay for a few more days especially when it is a two day shipping item. I do understand that the weather can play a huge role in it but come on. the weather has been nice all week. There are no snow. I'm just probably upset about it, but I will update on my review after more experiences.",3,3,18.5.0.100,2019-03-15 00:31:53,18.5.0.100
bc99fe83-f3ee-48ad-9233-842d4c436dc7,A Google user,"The app itself is buggy as heck on my Galaxy Note 4. The buy it now and add to list buttons rarely function without closing the app and reopening it. It often freezes up. My phone is not the newest version, no. However, thats no excuse. Amazon's app is the most buggy app I've ever downloaded on this phone. Unacceptable, for this to come from such a company as Amazon, whose standards should be extremely high. Everything else about Amazon, however, is top notch. Its just this app is horrible.",2,8,18.5.0.100,2019-03-17 21:51:10,18.5.0.100
92afbb77-13b8-4d44-82df-71a245c606b3,A Google user,"(Informational Purposes Only) (Dev Please Read) I have been in long standing with this app on my phone for quick purchases, however, now this has come to a hault due to the fact that it has become too demanding with hyperlinks and ads for items within the Amazon shopping ecosystem, making it hard to purchase, search, and or add to a list without being forced to use my desktop to add something. My suggestion, limit the links and ads and or add a ""Suggested"" tab... please and thank you in advance.",3,32,18.6.0.100,2019-03-23 14:52:41,18.6.0.100
0c0ea563-e3e5-49c6-b538-56fe596925ab,A Google user,"Nice for online shopping. The only big problem is when I surf on the Flash sales page: some pictures are disappearing while scrolling. Like 10-20 items have a problem, then the next pictures are there for like 10-20 items. Then again, no pictures, pictures back, no pictures, pictures back,... It's not practical (and that's since a while). Nexus 5x user",3,18,18.6.0.100,2019-03-27 09:13:05,18.6.0.100
dc62c0cc-66aa-49c3-b9d7-80635f2d31a5,A Google user,"This app has taken a nose dive. I'm a long time Amazon user, and lately, starting up the app and clicking the SEARCH FUNCTION causes it to crash IMMEDIATELY. I can view my old orders just fine, but anytime I try to use the SEARCH FUNCTION causes the app to crash WITHOUT FAIL. You can imagine how frustrating that can be. FIX THIS.",1,9,18.4.0.100,2019-03-02 14:53:48,18.4.0.100
49417d72-52de-44f7-9689-439b416eb310,A Google user,"Yes it is possible to make purchases on this app. However, it is near impossible to navigate because of the intense lag. It goes so slow, and is so buggy that often times you have to close the app and open it again to get the buttons to work. I highly advise you to just order off of the desktop website. Needs a LOT of work.",2,7,18.4.0.100,2019-03-03 05:23:41,18.4.0.100
8499d74b-598b-4e71-b654-c1b647ce4fac,A Google user,"PROBLEM: can't create an account with the email you desire on mobile, otherwise gets ""internal error"" every time. it SEEMS like it has to be account matching one used to download the app on google play, as that's the only way i got it to work. Was this intentional? because this just makes zero sense to me. I assume this is why some people with existing accounts are having trouble signing in now as well. Please fix!",2,9,18.5.0.100,2019-03-15 19:35:27,18.5.0.100
4866d1b2-0498-420a-9f4b-01c66df66eea,A Google user,"Dirty tactics. Every time I use the app they ask me to sign up for Prime, which is fine. What's not fine is they make it a one touch purchase and don't ask me to confirm it. This makes it easy to accidentally sign up but to cancel it after accidentally buying it is a pain and not easy to do. Of course they make the option to bypass Prime really small and right next to the buy Prime button so it's easy to fat finger it and select the wrong option. Stop being a-holes Amazon!",1,12,18.5.0.100,2019-03-12 09:40:43,18.5.0.100
4ee5564a-f7fb-4eab-8858-81af50512c6f,A Google user,When I want to search for something specific such as pastel striped jumper I end up having to scour through all sorts of irrelevant clothes. Hardly any of which are pastel striped jumpers. For this reason I mostly use ebay. Really quite frustrating and I imagine as a seller it must be quite bad that other items come up before theirs that have no relevance to what a buyer has typed into the search bar,3,1,,2019-03-24 19:13:09,
72b700bb-661d-44cc-8081-75d60d802fc0,A Google user,I had my app for a few years now and always five stars but this is the second time I had to uninstall and reinstall due to some error that disallow me from launching it. I have a note 8 for a year now and this happened twice within 2 months. hopefully this reinstall will be the last.,3,0,16.9.0.100,2019-03-06 17:57:16,16.9.0.100
dd289f5f-bd15-4fb8-9f86-d6adb612b83d,A Google user,The app itself if usually fine. I've had a couple issues with it freezing. I've had most issues with products that use UPS for shipping. Avoid them. UPS won't deliver your package on time and say they missed you even if you spent the entire day home waiting. Nightmare! I won't be buying products with that carrier again.,3,2,18.4.0.100,2019-03-07 15:59:03,18.4.0.100
3f9fb9a3-8b93-4173-a063-7a83e6f3ad45,A Google user,"Latest update very annoying! No option to filter deals any more. Rather than endlessly scrolling through, next and previous buttons appeared. an only problem with this is that it takes me back to the top of the list every time I go to next page. Totally puts me off looking at Prime and Today's Deals.",1,5,18.5.0.100,2019-03-18 08:07:25,18.5.0.100
592b89ce-7203-4008-824b-d39ff2edd82d,A Google user,"Amazon activated a Prime Account for me without my consent three times. I called each time to cancel and get a refund. On this last transaction, Amazon didn't show that the Prime Account was active. It was on my back statement so that was very deceptive. It is difficult to understand the broken English of the call taker and inconvenient to take the time in making the call.",1,2,18.4.0.100,2019-03-07 13:22:55,18.4.0.100
c50b1ca5-2044-4e84-a874-ccfeb9917e32,A Google user,"I love this app and all that comes with prime, but lately I can not search through tye reviews or ask a question on specific products like I have in the years before. which sucks when you only want to buy a specific dvd if it has several languages on it and amazons language section is often incorrect. always seems to say it just has english when it will also have spanish and/or french. which would be the only reason I would buy most dvds.",4,21,18.6.0.100,2019-03-21 02:00:51,18.6.0.100
ed199a69-07c2-4d88-bc8f-1aad022edc21,A Google user,"This app is essential for those interested. I myself order from amazon.""RARELY""I had become an affiliate with amazon using all I had. Maxed out credit-cards.They stated It's a great way to subsitute ones income.Thats not true in my case.My becoming an affiliate with amazon. paid for but nothing ever surfaced. praying that something good would come from Amazon as I trusted them. I'm a mom of 2 with MS who's lost much to Amazon hoping for a solution to stay financially stable without loss.",1,0,12.4.0.100,2019-03-31 16:30:20,12.4.0.100
7daa885b-f035-4ee8-9dc0-531752d7d205,A Google user,"For many reasons, Amazon is my personal department store & where I often shop for groceries. I can find products on Amazon that friends cannot where they shop. The prices are fair. The quality is great. Prime Now, and Prime Pantry are my go to apps. The mail delivery is always prompt,, and the contents arrive in good condition.",5,0,16.20.0.100,2019-03-23 00:47:50,16.20.0.100
fcd5f609-79ad-4f96-8ec3-cc7c962eadd4,A Google user,"Installed the app as finally fed up of clicking ads for Amazon that open Play not the website however it just won't load. I get a white screen for ages and then the error that the app has stopped working - it never even started. Amazon, you're quite possibly missing out on Sales by pushing app downloads instead of product page visits!!!",1,0,,2019-03-19 07:51:09,
2d3dc623-f117-4d96-b038-b5c6dfd27032,A Google user,"Lately the app won't auto focus when scanning a barcode. My work around is to minimize it, open my phones integrated camera app. Wait for it to auto focus, switch to the Amazon app so it can take advantage of how the lens is focused. This is the only way can get it to scan a barcode.",2,31,18.5.0.100,2019-03-11 22:08:28,18.5.0.100
8687e383-001f-4e2a-8b3d-8eae19133b91,A Google user,"iIlike the app. However, ive been getting random glitching where part of my screen keep flashing black. Only does this in the app . Im concern for a virus or something so i only order on my computer. Ive uninstalled and reinstalled multiple time. Ive even chevk my phone for viruses. i cannot find anything thats causing it . Please see if there any bugs. Its the only app in my phone that glitches. I wont be using it anytime soon.",1,18,18.6.0.100,2019-03-21 18:40:33,18.6.0.100
6c3e5b2f-b3a8-42fd-a9dc-1f3c4c2f8cf9,A Google user,Amazon is honestly terrible.. prime membership is a waste of money you're always getting ripped off. why cant we filter by things that only deliver to us instead of having to look through 3990 items that dont to find one that does?? Amazon really really really needs to step up honestly the only good thing about Amazon is the shipping times. other than that I would suggest shopping elsewhere cause they clearly are just money hungry and dont listen to their consumers.,1,21,18.4.0.100,2019-03-02 16:52:03,18.4.0.100
3e5be485-d842-46f6-9fe8-32a6d27b5adb,A Google user,"first time trying to use the app to purchase a few book. I cant even get to the check out as the app keeps kicking me off saying ""oops something went wrong"". absolutely ridiculous! the same items I want are on Ebay but are a few dollars more. I NEVER have issues with Ebay think I'll just spend the extra money and buy there. figured I would try to save a few bucks but not if the app cant even function right! waist of time!",1,34,18.5.0.100,2019-03-09 01:13:19,18.5.0.100
