reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
ce2b386c-6da8-4f45-9680-d57a8f172711,Michael Harris (dlJazz93),"The Amazon app used to be good, however, the updates to it has led me to using the website on PC more than mobile. The search results don't always list the categories in the filters, making browsing the app harder. I can't move items from one wishlist to another without the app crashing, so onto the actual website for that. The only thing it is good for is delivery updates, or if you actually know what you want to buy, otherwise the app isn't built for you to browse it.",3,2,,2021-01-16 19:41:53,
3942d970-2272-494b-ac7e-900b035bba0a,Jason Lee,"The sales part of the app is the best e-commerce app out there. The customer service is not. They can not find all the mysterious charges anyone with a long relationship with Amazon has. It is all outsourced so language is a problem. Their prices fluctuate so much depending on who you get, they don't always grant price adjustments even if the item is within a return period. (I once got denied a USD $0.50 adjustment, so I sent it back, and bought it again. So much for being pro-environment.)",1,96,22.1.0.100,2021-01-09 18:29:24,22.1.0.100
a69c61b7-e30c-49f3-a383-e5aab28f7ca6,Frances Gardner,"They make it easy to spend, but hard to get your product or refund when they mess up. Stopped receiving my orders 3 months ago even though everything kept saying delivered. After a lot of bs got my money back. This week ordered something small to see if I'd get it. Got a delivery! It was scarves I ordered 3 months ago. Called about the item I actually ordered. Have to wait 7 days while they ""investigate"" for a refund. The poor service isn't worth the supposed convenience. Rather go to the store",1,0,20.6.0.100,2021-01-23 17:39:30,20.6.0.100
f4f28fad-2637-4fe8-b631-163f229dca8d,Richard Donaldson,"I've found the search results often aren't accurate, and if I opt for filtering it as cheapest first, maybe with other filters too, it misses some results I had before which are cheaper. And, if I change any one filter, I need to order it again from cheapest first. It's a simple a major thing to sort for a big company. If things in my basket moved to purchase, it'll often automatically move my items to more avoidable expensive delivery options. If changed back to free, it'll load for too long.",3,77,22.1.0.100,2021-01-09 00:44:17,22.1.0.100
7c1471c8-35b8-4a3b-8494-3ce46289e147,M Doherty (Retail Therapy),"When I search for a specific, name brand item, I get a lot of irrelevant items. Also, when sorting from low to high, for example, a massive number of hits disappear leaving mostly irrelevant item. I wish I could search for an exact phrase while excluding words I do not want. If these small things were added I would rate 5 stars.",3,1,20.21.0.100,2021-01-29 15:11:16,20.21.0.100
d91bc5c2-fafe-4519-ab12-63ec42489e50,Phil Gluchman,"App works fine. The quality of products has taken a sharp curve down. Have to return a third of the stuff I buy because it's broken or wrong items. I'm switching to Wal-Mart plus. Same shipping times and at least with that, I won't have to drive 56 miles to return stuff. If you want the products on Amazon, just order it from wish. Half the time you will get it in same time anyway.",1,64,20.22.2.100,2021-01-06 22:30:09,20.22.2.100
bc86c81c-415b-4604-b8bd-f78232ba4e45,BlindingLight,Amazon fire stick hasn't been working correctly. Disconnects and connects every couple of minutes. Takes half an hour just to try to watch a show or movie & then disconnects. I've tested multiple devices and everything works fine except the Amazon fire stick 1st generation. Seems like amazon may have done something to cause the 1st generation sticks to not function normally. What a waste of money.,1,12,22.1.0.100,2021-01-18 03:49:13,22.1.0.100
7004766f-7745-47dd-ab03-9685a4e17e4c,Ali Abbas,"As of today, I've had problems with the app and website on my amazon exclusive Samsung M30s. It's taking forever to load on both, I feel there may be a bug issue, because other apps and websites work perfectly without fail. I would appreciate it if you looked into this for me please. I still have a lot of shopping to do 😅. I've tried reinstalling the app and restarting the phone etc., but to no avail. Thank for reading. Adios!",2,224,22.1.0.100,2021-01-15 06:59:38,22.1.0.100
c4669099-8637-46df-b240-c09c6abc3126,SERN,"Amazon is amazing and never fails to deliver! I have had nothing but good experiences when ordering through amazon. Sometimes it doesn't have the BEST deals for specific products (rarely), but they always deliver days before the estimated arrival date! Unless, it's a pre-ordered package of some sort! I am forever pleased with their services.",5,346,22.1.0.100,2021-01-18 16:28:45,22.1.0.100
d19e49e7-6be7-4d74-b5a9-4e9cc5244461,Athena Greten Byros,"I love Amazon it is my go to for online shopping. The membership is Great if you are on EBT your membership fee is reduced. The app tends to lag a little bit nothing unbearable. It is by far hands down a better service compared to Walmart plus... I have both. I'm have health issues so ,I depend on services such as this. For a person on SSI and snap it is great that the membership fee is reduced and there is an enormous selection. If I needed to return an item UPS will come with a return label.",4,1,,2021-01-10 00:46:10,
